receive,ticker,market,type,bidprice,askprice,bidqty,askqty
1508313600025556147,AA,NYSEArca,Q,42,9.22337e+09,900,0
1508313600025702811,AA,NYSEArca,Q,42,48.54,900,100
1508313600026458390,AA,NYSEArca,Q,43,48.54,600,100
1508313600026776269,AA,NYSEArca,Q,45,48.54,200,100
1508313600028343968,AA,NYSEArca,Q,47.22,48.54,200,100
1508313600039990909,BA,NYSEArca,Q,-9.22337e+09,260.6,0,200
1508313600040012270,BA,NYSEArca,Q,90.24,260.6,100,200
1508313600040400832,BA,NYSEArca,Q,102.13,260.6,100,200
1508313600040870070,BA,NYSEArca,Q,118.81,260.6,100,200
1508313600041146174,BA,NYSEArca,Q,176,260.6,100,200
1508313600041475780,BA,NYSEArca,Q,215,260.6,100,200
1508313600041630595,BA,NYSEArca,Q,240,260.6,100,200
1508313600041647620,BA,NYSEArca,Q,252,260.6,100,200
1508313600042480044,BA,NYSEArca,Q,252.5,260.6,200,200
1508313600042511358,BA,NYSEArca,Q,254.5,260.6,100,200
1508313600042667664,BA,NYSEArca,Q,254.72,260.6,100,200
1508313600042776696,BA,NYSEArca,Q,257.35,260.6,100,200
1508313600042828671,BA,NYSEArca,Q,257.35,260.05,100,100
1508313600186555586,BA,NYSEArca,Q,256.85,260.05,100,100
1508313600192067570,BA,NYSEArca,Q,257.05,260.05,100,100
1508313600309115186,BA,NYSEArca,Q,257.35,260.05,100,100
1508313600416493721,BA,NYSEArca,Q,256.85,260.05,100,100
1508313600421906396,BA,NYSEArca,Q,257.05,260.05,100,100
1508313600549056366,BA,NYSEArca,Q,257.35,260.05,100,100
1508313600675829097,BA,NYSEArca,Q,256.85,260.05,100,100
1508313600681294798,BA,NYSEArca,Q,257.05,260.05,100,100
1508313600809743553,BA,NYSEArca,Q,257.35,260.05,100,100
1508313600972162812,BA,NYSEArca,Q,256.85,260.05,100,100
1508313600977831535,BA,NYSEArca,Q,257.05,260.05,100,100
1508313601100127160,BA,NYSEArca,Q,257.35,260.05,100,100
1508313605014706216,BA,NYSEArca,Q,257.35,260.2,100,200
1508313605020062081,BA,NYSEArca,Q,257.35,260.2,100,100
1508313605186091035,BA,NYSEArca,Q,256.85,260.2,100,100
1508313605191677100,BA,NYSEArca,Q,257.05,260.2,100,100
1508313610010174483,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508313610010189048,BA,NYSEArca,Q,257.05,260.25,100,100
1508313610019524864,BA,NYSEArca,Q,257.05,260.3,100,100
1508313610025763757,BA,NYSEArca,Q,257.05,260.35,100,100
1508313614612494260,BA,NASDAQOMX,Q,256.15,260.55,100,100
1508313615014800801,BA,NYSEArca,Q,257.05,260.4,100,100
1508313615031201466,BA,NYSEArca,Q,257.05,260.5,100,100
1508313617112060695,BA,NASDAQOMX,Q,256.2,260.55,100,100
1508313617417807616,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508313617424525737,BA,NASDAQOMX,Q,256.15,260.55,100,100
1508313617523031026,BA,NASDAQOMX,Q,256.2,260.55,100,100
1508313620020752616,BA,NYSEArca,Q,257.05,260.55,100,100
1508313651072772704,BA,NYSEArca,Q,256.9,260.55,100,100
1508313652079217791,BA,NYSEArca,Q,257.05,260.55,100,100
1508313678041851907,BA,NASDAQOMX,Q,256.25,260.55,100,100
1508313682359598435,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508313682366110153,BA,NASDAQOMX,Q,256.2,260.55,100,100
1508313682372758701,BA,NASDAQOMX,Q,256.25,260.55,100,100
1508313711247177809,BA,NYSEArca,Q,256.95,260.55,100,100
1508313712240348629,BA,NYSEArca,Q,257.05,260.55,100,100
1508313743617199681,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508313757784416303,BA,NASDAQOMX,Q,257.05,260.55,100,100
1508313863630985639,AA,NASDAQOMX,Q,43.07,9.22337e+09,100,0
1508313949664210215,AA,NASDAQOMX,Q,-9.22337e+09,9.22337e+09,0,0
1508314105409308202,AA,NYSEArca,Q,47.22,47.76,200,100
1508314206176261201,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508314206182490408,BA,NASDAQOMX,Q,256.25,260.55,100,100
1508314206383021965,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508314230136063739,BA,NASDAQOMX,Q,256.25,260.55,100,100
1508314230145125441,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508314230160315595,BA,NASDAQOMX,Q,256.25,260.55,100,100
1508314230170101568,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508314233922826819,BA,NASDAQOMX,Q,256.25,260.55,100,100
1508314234791297383,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508314234812049955,BA,NASDAQOMX,Q,256.25,260.55,100,100
1508314251304700799,BA,NYSEArca,Q,257,260.55,100,100
1508314252242726705,BA,NYSEArca,Q,257.05,260.55,100,100
1508314252249244175,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508314266348919272,BA,NASDAQOMX,Q,256.25,260.55,100,100
1508314267821447327,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508314270074095755,BA,NASDAQOMX,Q,256.25,260.55,100,100
1508314270192755594,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508314288949227556,BA,NASDAQOMX,Q,256.25,260.55,100,100
1508314307720919519,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508314307734436132,BA,NASDAQOMX,Q,256.25,260.55,100,100
1508314311173000954,BA,NYSEArca,Q,257,260.55,100,100
1508314312169357687,BA,NYSEArca,Q,257.05,260.55,100,100
1508314371320156089,BA,NYSEArca,Q,257,260.55,100,100
1508314372074931658,BA,NYSEArca,Q,257.05,260.55,100,100
1508314431169641591,BA,NYSEArca,Q,257,260.55,100,100
1508314432189379133,BA,NYSEArca,Q,257.05,260.55,100,100
1508314444729261912,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508314444739137493,BA,NASDAQOMX,Q,256.25,260.55,100,100
1508314445429294757,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508314445454977273,BA,NASDAQOMX,Q,256.25,260.55,100,100
1508314445713462196,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508314446165916711,BA,NASDAQOMX,Q,256.25,260.55,100,100
1508314449374514669,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508314449387367829,BA,NASDAQOMX,Q,256.25,260.55,100,100
1508314449671171203,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508314449701338276,BA,NASDAQOMX,Q,256.25,260.55,100,100
1508314449743477880,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508314451879198223,BA,NASDAQOMX,Q,257.05,260.55,100,100
1508314976886409118,BA,NASDAQOMX,Q,257,260.55,100,100
1508314976886421173,BA,NASDAQOMX,Q,-9.22337e+09,260.55,0,100
1508315031092993110,BA,NYSEArca,Q,257,260.55,100,100
